alcohol,volatile acidity,sulphates,pH,quality
9.400000,0.700000,0.560000,3.510000,5.000000
9.800000,0.880000,0.680000,3.200000,5.000000
9.800000,0.760000,0.650000,3.260000,5.000000
9.800000,0.280000,0.580000,3.160000,6.000000
9.400000,0.700000,0.560000,3.510000,5.000000
9.400000,0.660000,0.560000,3.510000,5.000000
9.400000,0.600000,0.460000,3.300000,5.000000
10.000000,0.650000,0.470000,3.390000,7.000000
9.500000,0.580000,0.570000,3.360000,7.000000
10.500000,0.500000,0.800000,3.350000,5.000000
9.200000,0.580000,0.540000,3.280000,5.000000
10.500000,0.500000,0.800000,3.350000,5.000000
9.900000,0.615000,0.520000,3.580000,5.000000
9.100000,0.610000,1.560000,3.260000,5.000000
9.200000,0.620000,0.880000,3.160000,5.000000
9.200000,0.620000,0.930000,3.170000,5.000000
10.500000,0.280000,0.750000,3.300000,7.000000
9.300000,0.560000,1.280000,3.110000,5.000000
9.000000,0.590000,0.500000,3.380000,4.000000
9.200000,0.320000,1.080000,3.040000,6.000000
9.400000,0.220000,0.530000,3.390000,6.000000
9.700000,0.390000,0.650000,3.520000,5.000000
9.500000,0.430000,0.910000,3.170000,5.000000
9.400000,0.490000,0.530000,3.170000,5.000000
9.700000,0.400000,0.630000,3.430000,6.000000
9.300000,0.390000,0.560000,3.340000,5.000000
9.500000,0.410000,0.590000,3.280000,5.000000
9.500000,0.430000,0.910000,3.170000,5.000000
9.400000,0.710000,0.550000,3.470000,5.000000
9.800000,0.645000,0.590000,3.380000,6.000000
10.100000,0.675000,0.540000,3.350000,5.000000
10.600000,0.685000,0.570000,3.460000,6.000000
9.800000,0.655000,0.660000,3.170000,5.000000
9.400000,0.605000,0.520000,3.450000,6.000000
9.200000,0.320000,0.550000,3.380000,5.000000
9.600000,0.645000,0.550000,3.400000,6.000000
10.800000,0.600000,0.600000,3.420000,6.000000
9.700000,0.380000,0.730000,3.230000,7.000000
9.800000,1.130000,0.480000,3.500000,4.000000
10.500000,0.450000,0.830000,3.330000,5.000000
10.500000,0.450000,0.830000,3.330000,5.000000
9.300000,0.610000,0.510000,3.260000,4.000000
10.500000,0.490000,0.900000,3.210000,6.000000
10.300000,0.660000,1.200000,3.300000,5.000000
9.500000,0.670000,0.520000,3.480000,5.000000
13.100000,0.520000,0.560000,3.900000,4.000000
9.200000,0.935000,0.730000,3.250000,5.000000
9.500000,0.290000,0.580000,3.250000,5.000000
9.200000,0.400000,0.560000,3.340000,5.000000
9.200000,0.310000,0.580000,3.320000,5.000000
9.200000,0.660000,0.740000,3.150000,5.000000
9.400000,0.520000,0.630000,3.400000,6.000000
9.400000,0.500000,0.640000,3.390000,6.000000
9.400000,0.380000,0.560000,3.200000,5.000000
10.200000,0.510000,0.630000,3.170000,6.000000
9.500000,0.620000,0.530000,3.340000,5.000000
9.600000,0.420000,0.630000,3.040000,5.000000
9.400000,0.630000,0.770000,3.260000,5.000000
10.000000,0.590000,0.590000,3.430000,5.000000
9.400000,0.390000,0.540000,3.410000,6.000000
9.200000,0.400000,0.640000,3.440000,5.000000
9.300000,0.690000,0.710000,3.210000,5.000000
9.500000,0.520000,0.620000,3.380000,7.000000
9.800000,0.735000,0.570000,3.390000,5.000000
10.900000,0.725000,0.390000,3.410000,5.000000
10.900000,0.725000,0.390000,3.410000,5.000000
9.600000,0.520000,0.580000,3.420000,5.000000
10.700000,0.705000,0.580000,3.440000,5.000000
10.700000,0.320000,0.790000,3.280000,5.000000
10.500000,0.705000,0.950000,3.340000,6.000000
9.500000,0.630000,0.540000,3.320000,6.000000
9.500000,0.670000,0.480000,3.320000,5.000000
9.500000,0.690000,0.480000,3.310000,5.000000
9.200000,0.675000,0.530000,3.310000,4.000000
9.600000,0.320000,0.820000,3.280000,5.000000
10.500000,0.410000,0.660000,3.540000,5.000000
10.500000,0.410000,0.660000,3.540000,5.000000
10.700000,0.785000,0.550000,3.520000,6.000000
10.100000,0.750000,0.520000,3.380000,5.000000
9.100000,0.625000,1.120000,3.160000,4.000000
9.200000,0.450000,0.560000,3.410000,5.000000
9.400000,0.430000,1.280000,3.130000,5.000000
9.100000,0.500000,0.570000,3.360000,5.000000
9.400000,0.670000,1.140000,3.160000,5.000000
10.300000,0.300000,0.780000,3.440000,6.000000
10.100000,0.550000,0.590000,3.410000,5.000000
9.900000,0.490000,1.950000,2.930000,6.000000
9.600000,0.490000,0.640000,3.390000,5.000000
9.500000,0.390000,1.220000,3.140000,5.000000
9.000000,0.620000,0.530000,3.480000,5.000000
9.500000,0.520000,0.540000,3.230000,5.000000
9.900000,0.490000,1.950000,2.930000,6.000000
9.800000,0.490000,1.980000,2.930000,5.000000
9.600000,0.490000,0.640000,3.390000,5.000000
10.500000,1.020000,0.480000,3.750000,4.000000
12.900000,0.600000,0.600000,3.850000,6.000000
10.700000,0.775000,0.560000,3.450000,5.000000
9.200000,0.500000,0.630000,3.250000,5.000000
9.800000,0.900000,0.560000,3.390000,5.000000
9.000000,0.545000,0.590000,3.300000,6.000000
10.200000,0.610000,0.610000,3.400000,6.000000
10.400000,0.500000,0.560000,3.310000,6.000000
9.000000,0.545000,0.590000,3.300000,6.000000
9.200000,0.575000,0.510000,3.290000,5.000000
9.400000,0.490000,0.480000,3.330000,5.000000
9.200000,0.575000,0.510000,3.290000,5.000000
9.300000,0.410000,1.310000,3.080000,5.000000
9.300000,0.630000,0.790000,3.460000,5.000000
9.600000,0.330000,0.800000,3.370000,6.000000
9.300000,0.785000,0.690000,3.210000,5.000000
9.500000,0.560000,0.930000,3.190000,5.000000
9.800000,0.620000,0.660000,3.150000,5.000000
9.800000,0.600000,0.660000,3.150000,5.000000
9.700000,0.310000,0.670000,3.320000,6.000000
9.500000,0.560000,0.930000,3.190000,5.000000
10.500000,0.400000,0.630000,3.070000,6.000000
10.000000,0.540000,0.610000,3.390000,6.000000
9.400000,0.560000,0.500000,3.370000,6.000000
10.900000,0.550000,0.600000,3.210000,6.000000
9.200000,0.690000,0.540000,3.340000,6.000000
9.000000,1.070000,0.570000,3.300000,5.000000
10.900000,0.550000,0.600000,3.210000,6.000000
9.200000,0.695000,0.520000,3.490000,5.000000
9.500000,0.710000,0.530000,3.440000,5.000000
9.500000,0.500000,0.480000,3.390000,5.000000
9.400000,0.620000,0.700000,3.160000,5.000000
10.900000,1.330000,0.490000,3.530000,5.000000
10.900000,1.330000,0.480000,3.540000,5.000000
10.500000,0.590000,0.920000,3.420000,7.000000
9.400000,0.380000,0.570000,3.420000,5.000000
9.400000,0.745000,0.660000,3.240000,5.000000
13.000000,0.500000,0.630000,3.630000,5.000000
13.000000,0.500000,0.630000,3.630000,5.000000
9.800000,0.500000,0.580000,3.400000,6.000000
9.900000,1.040000,0.550000,3.220000,6.000000
9.600000,0.745000,0.820000,3.190000,5.000000
9.500000,0.715000,0.770000,3.230000,5.000000
9.200000,0.415000,0.640000,3.480000,5.000000
9.500000,0.560000,0.540000,3.330000,5.000000
9.500000,0.560000,0.540000,3.320000,5.000000
9.600000,0.745000,0.820000,3.190000,5.000000
9.500000,0.715000,0.770000,3.230000,5.000000
14.000000,0.340000,0.790000,3.680000,6.000000
9.400000,0.390000,0.580000,3.340000,5.000000
14.000000,0.340000,0.790000,3.680000,6.000000
9.400000,0.670000,0.620000,3.170000,5.000000
10.000000,0.680000,0.520000,3.540000,5.000000
9.300000,0.490000,0.800000,3.110000,5.000000
10.200000,0.490000,0.580000,3.420000,6.000000
10.500000,0.400000,0.610000,3.530000,6.000000
10.300000,0.330000,0.530000,3.330000,6.000000
9.400000,0.520000,2.000000,2.740000,4.000000
10.100000,0.600000,0.540000,3.350000,5.000000
10.100000,0.600000,0.540000,3.350000,5.000000
10.500000,0.430000,0.720000,3.420000,5.000000
10.500000,0.430000,0.710000,3.420000,5.000000
10.500000,0.430000,0.720000,3.420000,5.000000
10.500000,0.430000,0.710000,3.420000,5.000000
9.300000,0.680000,0.500000,3.480000,5.000000
9.300000,0.600000,0.570000,3.590000,6.000000
9.600000,0.950000,0.560000,3.200000,5.000000
9.200000,0.680000,1.080000,3.170000,4.000000
10.000000,0.530000,0.560000,3.330000,6.000000
9.400000,0.600000,0.490000,3.370000,5.000000
9.400000,0.590000,0.490000,3.370000,5.000000
9.500000,0.630000,0.620000,3.190000,5.000000
10.200000,0.640000,0.520000,3.340000,5.000000
9.000000,0.550000,0.480000,3.370000,4.000000
10.400000,0.630000,0.550000,3.470000,6.000000
9.500000,0.705000,1.590000,3.000000,5.000000
9.100000,0.885000,0.330000,3.360000,4.000000
9.200000,0.420000,0.610000,3.290000,6.000000
9.200000,0.420000,0.610000,3.290000,6.000000
11.500000,0.620000,0.570000,3.420000,6.000000
9.500000,0.380000,0.470000,3.330000,5.000000
9.500000,0.500000,0.780000,3.350000,5.000000
9.500000,0.380000,0.470000,3.330000,5.000000
10.500000,0.520000,0.610000,3.580000,6.000000
9.600000,0.805000,0.560000,3.480000,5.000000
9.500000,0.610000,0.590000,3.190000,5.000000
9.500000,0.610000,0.590000,3.190000,5.000000
9.300000,0.610000,1.020000,3.120000,5.000000
9.300000,0.730000,0.520000,3.440000,5.000000
9.300000,0.610000,0.580000,3.540000,5.000000
9.300000,0.620000,0.580000,3.520000,6.000000
9.700000,0.310000,0.530000,3.260000,5.000000
9.200000,0.390000,0.550000,3.340000,5.000000
